Jaar(m),Politie geregistreerd,Werkelijk aantal,Voorlopig,Definitief
,A,B,C,D
,REG,FIN,PREDC,FINDC
2009(10),63,68,66,67
2009(11),55,60,58,57
2009(12),48,52,51,48
2010(1),38,42,38,41
2010(2),28,31,30,31
2010(3),29,40,35,35
2010(4),50,57,48,51
2010(5),47,56,54,55
2010(6),65,73,69,68
2010(7),45,55,53,52
2010(8),55,62,43,50
2010(9),49,59,61,63
2010(10),61,75,68,68
2010(11),41,51,40,43
2010(12),29,39,39,40
2011(1),33,42,37,38
2011(2),30,35,34,35
2011(3),36,41,38,39
2011(4),52,64,60,63
2011(5),43,55,48,49
2011(6),46,59,62,63
2011(7),39,51,51,51
2011(8),46,54,55,56
2011(9),63,72,67,72
2011(10),44,54,55,60
2011(11),43,53,51,50
2011(12),71,81,80,78
2012(1),46,49,53,52
2012(2),45,44,44,43
2012(3),49,55,56,58
2012(4),56,69,59,64
2012(5),50,57,57,54
2012(6),46,54,51,56
2012(7),40,47,47,53
2012(8),53,65,62,63
2012(9),42,48,46,44
2012(10),42,54,51,51
2012(11),43,48,50,47
2012(12),50,60,64,65
2013(1),22,27,24,24
2013(2),26,30,29,29
2013(3),46,52,52,52
2013(4),30,37,34,34
2013(5),48,54,49,49
2013(6),41,52,48,48
2013(7),41,44,43,43
2013(8),44,60,61,61
2013(9),40,49,48,48
2013(10),59,71,69,69
2013(11),38,44,45,46
2013(12),41,50,49,49
2014(1),33,39,40,40
2014(2),30,33,30,30
2014(3),49,62,59,59
2014(4),38,49,45,45
2014(5),48,60,54,54
2014(6),42,45,49,49
2014(7),45,52,41,41
2014(8),36,43,43,43
2014(9),43,50,49,49
2014(10),40,50,42,42
2014(11),35,44,52,52
2014(12),37,43,41,41
2015(1),38,45,41,38
2015(2),34,39,37,38
2015(3),34,42,40,40
2015(4),44,52,49,49
2015(5),40,54,48,49
2015(6),40,45,44,45
2015(7),49,56,55,55
2015(8),49,56,52,52
2015(9),47,58,60,58
2015(10),62,71,61,62
2015(11),44,48,43,44
2015(12),50,55,47,49
2016(1),37,45,45,49
2016(2),53,62,52,50
2016(3),41,46,49,50
2016(4),34,46,41,40
2016(5),36,46,41,43
2016(6),34,41,47,41
2016(7),67,72,66,66
2016(8),39,50,45,47
2016(9),48,59,55,57
2016(10),48,60,54,54
2016(11),43,48,53,53
2016(12),53,54,54,54
2017(1),41,46,46,44
2017(2),43,46,39,40
2017(3),43,50,48,48
2017(4),40,43,41,42
2017(5),45,49,42,46
2017(6),48,56,48,49
2017(7),55,67,68,67
2017(8),46,58,48,49
2017(9),40,48,40,46
2017(10),40,44,41,41
2017(11),50,55,52,52
2017(12),44,51,49,49
2018(1),46,52,46,46
2018(2),26,31,30,31
2018(3),47,52,41,43
2018(4),50,56,52,52
2018(5),50,59,53,53
2018(6),54,61,55,53
2018(7),60,73,61,63
2018(8),41,47,49,49
2018(9),72,79,77,79
2018(10),63,69,67,67
2018(11),40,47,40,40
2018(12),49,52,52,52
2019(1),42,47,45,45
2019(2),43,46,34,38
2019(3),45,48,42,42
2019(4),51,59,53,57
2019(5),40,54,53,56
2019(6),55,64,50,54
2019(7),48,52,53,51
2019(8),47,58,55,56
2019(9),53,59,51,51
